"Brief description","Area","Room","Start time","End time","Duration","Full Description","Type","Created by","Confirmation status","Last updated"
"BCA II Div D -Yoga Therapy Principles-Ms. Vaishali Kale","SICSR","305","14:30:00 - Tuesday 02 January 2024","15:30:00 - Tuesday 02 January 2024","1 hours","BCA II Div D -Yoga Therapy Principles-Ms. Vaishali Kale","BCA (II) - Div. D","coordinator","Confirmed","17:31:36 - Friday 22 December 2023"
"MBA(IT) II Div A- Analysis of Business Case using Spreadsheets- Mr.Rohan Bhase","SICSR","306","14:30:00 - Tuesday 02 January 2024","15:30:00 - Tuesday 02 January 2024","1 hours","MBA(IT) II Div A- Analysis of Business Case using Spreadsheets- Mr.Rohan Bhase","MBA-IT (II) - Div. A","coordinator","Confirmed","17:39:16 - Tuesday 02 January 2024"
"BCA II Div F -Yoga Therapy Principles-Ms. Ramandeep Kaur","SICSR","401","14:30:00 - Tuesday 02 January 2024","15:30:00 - Tuesday 02 January 2024","1 hours","BCA II Div F -Yoga Therapy Principles-Ms. Ramandeep Kaur","BCA (II) - Div. F","coordinator","Confirmed","18:50:39 - Friday 22 December 2023"
"BBA(IT)  IV Elective: Creative Writing- Ms. Munnirah K","SICSR","701","14:30:00 - Tuesday 02 January 2024","15:30:00 - Tuesday 02 January 2024","1 hours","BBA(IT)  IV Elective: Creative Writing- Ms. Munnirah K","BBA-IT (IV) - Elective","coordinator","Confirmed","19:26:24 - Tuesday 26 December 2023"
"BCA IV- Big Data Analytics- Div C- Ms. Vrushali Kulkarni","SICSR","702","14:30:00 - Tuesday 02 January 2024","15:30:00 - Tuesday 02 January 2024","1 hours","BCA IV- Big Data Analytics- Div C- Ms. Vrushali Kulkarni","BCA (IV) - Elective - Group II - GroupB","coordinator","Confirmed","17:25:40 - Tuesday 02 January 2024"
"MBA(DT) II- Python for Data Science- Dr.Sachin Naik","SICSR","703","14:30:00 - Tuesday 02 January 2024","15:30:00 - Tuesday 02 January 2024","1 hours","MBA(DT) II- Python for Data Science- Dr.Sachin Naik","MBA-DT (II)","coordinator","Confirmed","19:20:32 - Monday 30 October 2023"
"BCA IV- Foundations of Data Warehousing and Data Mining- Div A- Ms. Kumari Deepi","SICSR","704","14:30:00 - Tuesday 02 January 2024","15:30:00 - Tuesday 02 January 2024","1 hours","BCA IV- Foundations of Data Warehousing and Data Mining- Div A- Ms. Kumari Deepika","BCA (IV) - Div. A","coordinator","Confirmed","16:58:21 - Saturday 23 December 2023"
"BCA IV- Advance Web Scripting-Div.B- Mr .Gaurav Pant","SICSR","706","14:30:00 - Tuesday 02 January 2024","15:30:00 - Tuesday 02 January 2024","1 hours","BCA IV- Advance Web Scripting-Div.B- Mr .Gaurav Pant","BCA (IV) - Elective - Group II - GroupA","coordinator","Confirmed","17:13:13 - Friday 29 December 2023"
"BCA IV- Foundations of Data Warehousing and Data Mining- Div D- Dr. Amol Vibhute","SICSR","707","14:30:00 - Tuesday 02 January 2024","15:30:00 - Tuesday 02 January 2024","1 hours","BCA IV- Foundations of Data Warehousing and Data Mining- Div D- Dr. Amol Vibhute","BCA (IV) - Div. D","coordinator","Confirmed","23:41:23 - Tuesday 26 December 2023"
"BCA II Div C -Yoga Therapy Principles-Ms. Ramandeep Kaur","SICSR","304","15:30:00 - Tuesday 02 January 2024","16:30:00 - Tuesday 02 January 2024","1 hours","BCA II Div C -Yoga Therapy Principles-Ms. Ramandeep Kaur","BCA (II) - Div. C","coordinator","Confirmed","17:19:45 - Friday 22 December 2023"
"BCA IV- Introduction to Cloud Computing- Div C- Ms.Sneha Shirolkar","SICSR","301","16:00:00 - Tuesday 02 January 2024","17:00:00 - Tuesday 02 January 2024","1 hours","BCA IV- Introduction to Cloud Computing- Div C- Ms.Sneha Shirolkar","BCA (IV) - Elective - Group II - GroupB","coordinator","Confirmed","17:37:10 - Friday 29 December 2023"
"MBA(IT) II Data Management and Visualization(DA)- Mr.Prathamesh Lahande","SICSR","307","16:00:00 - Tuesday 02 January 2024","17:00:00 - Tuesday 02 January 2024","1 hours","MBA(IT) II Data Management and Visualization(DA)- Mr.Prathamesh Lahande","MBA-IT (II) - DA","coordinator","Confirmed","17:50:36 - Tuesday 28 November 2023"
"MBA(IT) II Software Quality Process and Assurance I (SPM)-- Ms.Shubhashri Waghma","SICSR","402","16:00:00 - Tuesday 02 January 2024","17:00:00 - Tuesday 02 January 2024","1 hours","MBA(IT) II Software Quality Process and Assurance I (SPM)-- Ms.Shubhashri Waghmare","MBA-IT (II) - SPM","coordinator","Confirmed","17:47:34 - Tuesday 28 November 2023"
"BBA(IT)  IV Elective: Digital Marketing-Dr.Sarika Zambad","SICSR","407","16:00:00 - Tuesday 02 January 2024","17:00:00 - Tuesday 02 January 2024","1 hours","BBA(IT)  IV Elective: Digital Marketing-Dr.Sarika Zambad","BBA-IT (IV) - Elective","coordinator","Confirmed","17:37:34 - Friday 29 December 2023"
"MBA(DT) II- Project  Management- Mr.Rohan Bhase","SICSR","703","16:00:00 - Tuesday 02 January 2024","17:00:00 - Tuesday 02 January 2024","1 hours","MBA(DT) II- Project  Management- Mr.Rohan Bhase","MBA-DT (II)","coordinator","Confirmed","19:17:13 - Monday 30 October 2023"
"BCA IV- Advance Web Scripting-Div. A - Mr .Gaurav Pant","SICSR","704","16:00:00 - Tuesday 02 January 2024","17:00:00 - Tuesday 02 January 2024","1 hours","BCA IV- Advance Web Scripting-Div.A- Mr .Gaurav Pant","BCA (IV) - Elective - Group II - GroupA","coordinator","Confirmed","18:23:30 - Wednesday 27 December 2023"
"BCA IV- Current Trends and Practices in IT- Div F- Mr. Aniruddha Kshirsagar","SICSR","707","16:00:00 - Tuesday 02 January 2024","17:00:00 - Tuesday 02 January 2024","1 hours","BCA IV- Current Trends and Practices in IT- Div F- Mr. Aniruddha Kshirsagar","BCA (IV) - Div. F","coordinator","Confirmed","22:12:53 - Thursday 28 December 2023"
"BCA IV- Introduction to Cloud Computing- Div C- Ms.Sneha Shirolkar","SICSR","301","17:00:00 - Tuesday 02 January 2024","18:00:00 - Tuesday 02 January 2024","1 hours","BCA IV- Introduction to Cloud Computing- Div C- Ms.Sneha Shirolkar","BCA (IV) - Elective - Group II - GroupB","coordinator","Confirmed","17:37:18 - Friday 29 December 2023"
"MBA(IT) II Data Warehousing Architecture and Operations(DA)- Dr.Amol Vibhute","SICSR","307","17:00:00 - Tuesday 02 January 2024","18:00:00 - Tuesday 02 January 2024","1 hours","MBA(IT) II Data Warehousing Architecture and Operations(DA)- Dr.Amol Vibhute","MBA-IT (II) - DA","coordinator","Confirmed","17:51:18 - Tuesday 28 November 2023"
"MBA(IT) II Software Verification and Validation(SPM)-- Mr.Prathamesh Lahande","SICSR","402","17:00:00 - Tuesday 02 January 2024","18:00:00 - Tuesday 02 January 2024","1 hours","MBA(IT) II Software Verification and Validation(SPM)-- Mr.Prathamesh Lahande","MBA-IT (II) - SPM","coordinator","Confirmed","17:49:11 - Tuesday 28 November 2023"
"BBA(IT)  IV Elective: Digital Marketing-Dr.Sarika Zambad","SICSR","407","17:00:00 - Tuesday 02 January 2024","18:00:00 - Tuesday 02 January 2024","1 hours","BBA(IT)  IV Elective: Digital Marketing-Dr.Sarika Zambad","BBA-IT (IV) - Elective","coordinator","Confirmed","17:37:39 - Friday 29 December 2023"
"MBA(DT) II- Project  Management- Mr.Rohan Bhase","SICSR","703","17:00:00 - Tuesday 02 January 2024","18:00:00 - Tuesday 02 January 2024","1 hours","MBA(DT) II- Project  Management- Mr.Rohan Bhase","MBA-DT (II)","coordinator","Confirmed","19:17:59 - Monday 30 October 2023"
"BCA IV- Advance Web Scripting-Div.A- Mr .Gaurav Pant","SICSR","704","17:00:00 - Tuesday 02 January 2024","18:00:00 - Tuesday 02 January 2024","1 hours","BCA IV- Advance Web Scripting-Div.A- Mr .Gaurav Pant","BCA (IV) - Elective - Group II - GroupA","coordinator","Confirmed","18:24:10 - Wednesday 27 December 2023"
